step 0: train loss 10.9886, val loss 10.9898
iter 2360: loss 3.9826, time 3087.50ms, mfu 17.58%
iter 2370: loss 4.1542, time 3048.54ms, mfu 17.59%
iter 2380: loss 3.9855, time 3060.56ms, mfu 17.59%
iter 2390: loss 3.7937, time 3038.25ms, mfu 17.60%
iter 2400: loss 3.8719, time 3046.23ms, mfu 17.61%
iter 2410: loss 3.8307, time 3066.60ms, mfu 17.61%
iter 2420: loss 4.0679, time 3041.84ms, mfu 17.62%
iter 2430: loss 3.8897, time 3698.64ms, mfu 17.31%
iter 2440: loss 3.8444, time 3954.05ms, mfu 16.94%
iter 2450: loss 3.8703, time 3867.36ms, mfu 16.64%
iter 2460: loss 3.7780, time 4192.92ms, mfu 16.26%
iter 2470: loss 3.8653, time 3948.11ms, mfu 16.00%
iter 2480: loss 3.9154, time 4176.75ms, mfu 15.69%
iter 2490: loss 3.8644, time 4870.65ms, mfu 15.23%
iter 2500: loss 3.6350, time 4138.22ms, mfu 15.01%
iter 2510: loss 3.4903, time 4096.75ms, mfu 14.82%
iter 2520: loss 3.7522, time 3532.42ms, mfu 14.86%
iter 2530: loss 3.9119, time 5499.15ms, mfu 14.36%
iter 2540: loss 4.0582, time 6781.75ms, mfu 13.71%
iter 2550: loss 3.6530, time 5164.14ms, mfu 13.39%
iter 2560: loss 3.5583, time 3731.36ms, mfu 13.49%
iter 2570: loss 3.8349, time 3837.14ms, mfu 13.55%
iter 2580: loss 3.5919, time 3462.38ms, mfu 13.75%
iter 2590: loss 3.8573, time 4561.61ms, mfu 13.55%
iter 2600: loss 3.7253, time 4622.09ms, mfu 13.36%
iter 2610: loss 3.6670, time 7839.79ms, mfu 12.71%
iter 2620: loss 3.8620, time 4859.79ms, mfu 12.55%
iter 2630: loss 3.6966, time 3515.87ms, mfu 12.83%
iter 2640: loss 3.8695, time 3663.80ms, mfu 13.01%
iter 2650: loss 3.8587, time 3945.55ms, mfu 13.08%
iter 2660: loss 3.9981, time 3690.99ms, mfu 13.23%
iter 2670: loss 3.7073, time 4001.61ms, mfu 13.25%
iter 2680: loss 3.6872, time 3950.30ms, mfu 13.29%
iter 2690: loss 3.7021, time 4065.91ms, mfu 13.29%
iter 2700: loss 3.6204, time 4555.86ms, mfu 13.14%
iter 2710: loss 3.7261, time 5196.54ms, mfu 12.86%
iter 2720: loss 3.8279, time 3586.66ms, mfu 13.08%
iter 2730: loss 4.0275, time 4382.43ms, mfu 13.00%
iter 2740: loss 3.4929, time 5886.15ms, mfu 12.61%
iter 2750: loss 3.7358, time 4646.47ms, mfu 12.51%
iter 2760: loss 3.6471, time 3382.50ms, mfu 12.85%
iter 2770: loss 3.7575, time 9016.47ms, mfu 12.17%
iter 2780: loss 3.7629, time 3570.84ms, mfu 12.46%
iter 2790: loss 3.9351, time 3540.92ms, mfu 12.73%
iter 2800: loss 3.6262, time 3548.78ms, mfu 12.98%
iter 2810: loss 3.8413, time 3300.26ms, mfu 13.31%
iter 2820: loss 3.6585, time 3300.80ms, mfu 13.61%
iter 2830: loss 3.6721, time 3453.15ms, mfu 13.81%
iter 2840: loss 3.6674, time 3467.25ms, mfu 13.98%
iter 2850: loss 3.8686, time 3785.92ms, mfu 14.01%
iter 2860: loss 3.7285, time 3778.05ms, mfu 14.03%
iter 2870: loss 3.5109, time 3625.72ms, mfu 14.12%
iter 2880: loss 3.8013, time 3618.70ms, mfu 14.19%
iter 2890: loss 3.7378, time 3546.59ms, mfu 14.29%
iter 2900: loss 3.5912, time 3301.75ms, mfu 14.49%
iter 2910: loss 3.7145, time 3352.86ms, mfu 14.65%
iter 2920: loss 3.6298, time 3464.13ms, mfu 14.74%
iter 2930: loss 3.7068, time 3524.88ms, mfu 14.79%
iter 2940: loss 3.7415, time 3789.15ms, mfu 14.74%
iter 2950: loss 3.8417, time 3763.19ms, mfu 14.69%
iter 2960: loss 3.6586, time 3649.71ms, mfu 14.70%
iter 2970: loss 3.7615, time 3576.75ms, mfu 14.74%
iter 2980: loss 3.6204, time 3294.55ms, mfu 14.90%
iter 2990: loss 3.8348, time 3313.23ms, mfu 15.03%
step 3000: train loss 3.7021, val loss 3.7043
saving checkpoint to out
iter 3000: loss 3.7961, time 27300.71ms, mfu 13.73%
iter 3010: loss 3.6935, time 3632.07ms, mfu 13.84%
iter 3020: loss 3.6387, time 3610.05ms, mfu 13.95%
iter 3030: loss 3.7144, time 3576.51ms, mfu 14.06%
iter 3040: loss 3.7003, time 3549.38ms, mfu 14.17%
iter 3050: loss 3.6543, time 3532.96ms, mfu 14.28%
iter 3060: loss 3.7082, time 3544.13ms, mfu 14.37%
iter 3070: loss 3.4524, time 3539.43ms, mfu 14.45%
iter 3080: loss 3.6589, time 3532.06ms, mfu 14.53%
iter 3090: loss 3.9020, time 3572.30ms, mfu 14.59%
iter 3100: loss 3.6028, time 3306.75ms, mfu 14.76%
iter 3110: loss 3.7937, time 3313.94ms, mfu 14.91%
iter 3120: loss 3.7495, time 3292.21ms, mfu 15.05%
iter 3130: loss 3.7890, time 3346.21ms, mfu 15.16%
iter 3140: loss 3.5559, time 3432.72ms, mfu 15.21%
iter 3150: loss 3.7793, time 3449.72ms, mfu 15.25%
iter 3160: loss 3.7578, time 3471.68ms, mfu 15.28%
iter 3170: loss 3.7818, time 3543.14ms, mfu 15.27%
iter 3180: loss 3.6843, time 3795.34ms, mfu 15.16%
iter 3190: loss 3.7651, time 3781.05ms, mfu 15.07%
iter 3200: loss 3.6097, time 3720.61ms, mfu 15.01%
iter 3210: loss 3.7459, time 3632.94ms, mfu 14.99%
iter 3220: loss 3.5775, time 3552.79ms, mfu 15.01%
iter 3230: loss 3.6472, time 3303.22ms, mfu 15.14%
iter 3240: loss 3.5994, time 3319.87ms, mfu 15.25%
iter 3250: loss 3.6599, time 3402.76ms, mfu 15.31%
iter 3260: loss 3.5970, time 3475.68ms, mfu 15.33%
iter 3270: loss 3.7088, time 3541.39ms, mfu 15.31%
iter 3280: loss 3.6802, time 3791.88ms, mfu 15.20%
iter 3290: loss 3.8064, time 3697.11ms, mfu 15.14%
iter 3300: loss 3.6825, time 3298.08ms, mfu 15.26%
iter 3310: loss 3.8051, time 3336.31ms, mfu 15.35%
iter 3320: loss 3.3901, time 3313.10ms, mfu 15.44%
iter 3330: loss 3.5245, time 3423.61ms, mfu 15.47%
iter 3340: loss 3.6720, time 3467.96ms, mfu 15.47%
iter 3350: loss 3.6550, time 3538.57ms, mfu 15.45%
iter 3360: loss 3.5731, time 3553.21ms, mfu 15.42%
