step 0: train loss 10.9886, val loss 10.9898
iter 1680: loss 4.1439, time 3142.30ms, mfu 16.61%
iter 1690: loss 4.1858, time 3120.76ms, mfu 16.67%
iter 1700: loss 3.9950, time 3212.10ms, mfu 16.68%
iter 1710: loss 4.0830, time 3281.87ms, mfu 16.65%
iter 1720: loss 3.9132, time 3237.91ms, mfu 16.65%
iter 1730: loss 4.0857, time 3010.64ms, mfu 16.78%
iter 1740: loss 3.9857, time 3223.09ms, mfu 16.77%
iter 1750: loss 4.0941, time 3354.00ms, mfu 16.70%
iter 1760: loss 3.8840, time 3242.61ms, mfu 16.69%
iter 1770: loss 3.8810, time 3033.41ms, mfu 16.80%
iter 1780: loss 4.1200, time 3338.93ms, mfu 16.73%
iter 1790: loss 3.7581, time 3254.48ms, mfu 16.71%
iter 1800: loss 4.1438, time 3246.54ms, mfu 16.70%
iter 1810: loss 4.1850, time 3348.56ms, mfu 16.64%
iter 1820: loss 3.9733, time 3246.59ms, mfu 16.63%
iter 1830: loss 4.1365, time 3224.87ms, mfu 16.64%
iter 1840: loss 4.1029, time 3186.47ms, mfu 16.67%
iter 1850: loss 4.0541, time 3100.90ms, mfu 16.74%
iter 1860: loss 4.0023, time 3162.17ms, mfu 16.77%
iter 1870: loss 3.8897, time 3231.31ms, mfu 16.76%
iter 1880: loss 4.1160, time 3011.25ms, mfu 16.87%
iter 1890: loss 4.3259, time 3083.18ms, mfu 16.93%
iter 1900: loss 3.9826, time 3348.69ms, mfu 16.85%
iter 1910: loss 4.0410, time 3238.78ms, mfu 16.82%
iter 1920: loss 4.1308, time 3218.16ms, mfu 16.82%
iter 1930: loss 3.9193, time 3461.52ms, mfu 16.69%
iter 1940: loss 4.0021, time 3248.96ms, mfu 16.68%
iter 1950: loss 3.8806, time 3383.58ms, mfu 16.60%
iter 1960: loss 3.9538, time 3347.53ms, mfu 16.55%
iter 1970: loss 4.0852, time 3020.55ms, mfu 16.68%
iter 1980: loss 3.9197, time 3237.65ms, mfu 16.68%
iter 1990: loss 4.1613, time 3244.11ms, mfu 16.67%
step 2000: train loss 3.9830, val loss 3.9692
saving checkpoint to out
iter 2000: loss 3.9624, time 25443.64ms, mfu 15.21%
iter 2010: loss 3.7640, time 3169.94ms, mfu 15.39%
iter 2020: loss 4.0213, time 3024.69ms, mfu 15.63%
iter 2030: loss 3.9142, time 3177.86ms, mfu 15.76%
iter 2040: loss 3.8277, time 3358.71ms, mfu 15.79%
iter 2050: loss 3.9139, time 3048.57ms, mfu 15.98%
iter 2060: loss 3.9325, time 3403.08ms, mfu 15.96%
iter 2070: loss 4.0610, time 3224.74ms, mfu 16.04%
iter 2080: loss 3.9359, time 3232.07ms, mfu 16.10%
iter 2090: loss 4.0103, time 3268.87ms, mfu 16.14%
iter 2100: loss 4.1397, time 3247.11ms, mfu 16.18%
iter 2110: loss 3.7857, time 3304.27ms, mfu 16.20%
iter 2120: loss 3.9158, time 3304.17ms, mfu 16.21%
iter 2130: loss 4.2158, time 3261.70ms, mfu 16.24%
iter 2140: loss 3.9018, time 3356.60ms, mfu 16.22%
iter 2150: loss 3.8780, time 3263.69ms, mfu 16.25%
iter 2160: loss 3.9048, time 3203.33ms, mfu 16.30%
iter 2170: loss 3.7754, time 3227.86ms, mfu 16.34%
iter 2180: loss 3.7611, time 3241.38ms, mfu 16.37%
iter 2190: loss 3.8761, time 3326.77ms, mfu 16.35%
iter 2200: loss 3.9485, time 3346.16ms, mfu 16.33%
iter 2210: loss 3.9146, time 3359.46ms, mfu 16.30%
iter 2220: loss 3.8042, time 3236.34ms, mfu 16.33%
iter 2230: loss 3.8434, time 3247.13ms, mfu 16.36%
iter 2240: loss 3.8910, time 3326.80ms, mfu 16.34%
iter 2250: loss 3.7351, time 3241.57ms, mfu 16.37%
iter 2260: loss 3.7096, time 3248.50ms, mfu 16.39%
iter 2270: loss 3.9221, time 3018.16ms, mfu 16.54%
iter 2280: loss 3.8911, time 3317.21ms, mfu 16.51%
iter 2290: loss 3.8119, time 3239.90ms, mfu 16.52%
iter 2300: loss 3.7680, time 3261.24ms, mfu 16.52%
iter 2310: loss 3.7498, time 3258.91ms, mfu 16.52%
iter 2320: loss 3.8622, time 3439.28ms, mfu 16.43%
iter 2330: loss 3.8676, time 3311.48ms, mfu 16.42%
iter 2340: loss 3.6235, time 3280.86ms, mfu 16.42%
iter 2350: loss 3.7526, time 3233.26ms, mfu 16.44%
iter 2360: loss 3.9761, time 3252.57ms, mfu 16.45%
iter 2370: loss 4.1385, time 3030.89ms, mfu 16.58%
iter 2380: loss 3.9876, time 3236.63ms, mfu 16.59%
iter 2390: loss 3.7984, time 3190.89ms, mfu 16.62%
iter 2400: loss 3.8768, time 3335.03ms, mfu 16.57%
iter 2410: loss 3.8244, time 3240.84ms, mfu 16.58%
iter 2420: loss 4.0620, time 3282.10ms, mfu 16.56%
iter 2430: loss 3.8910, time 3313.74ms, mfu 16.53%
iter 2440: loss 3.8439, time 3339.34ms, mfu 16.49%
iter 2450: loss 3.8715, time 3271.91ms, mfu 16.49%
iter 2460: loss 3.7622, time 3244.83ms, mfu 16.50%
iter 2470: loss 3.8521, time 3333.76ms, mfu 16.46%
iter 2480: loss 3.9065, time 3381.20ms, mfu 16.41%
iter 2490: loss 3.8654, time 3236.15ms, mfu 16.43%
iter 2500: loss 3.6322, time 3220.44ms, mfu 16.46%
iter 2510: loss 3.5021, time 3223.98ms, mfu 16.49%
iter 2520: loss 3.7563, time 3090.05ms, mfu 16.58%
iter 2530: loss 3.9067, time 3227.06ms, mfu 16.59%
iter 2540: loss 4.1741, time 3328.28ms, mfu 16.55%
iter 2550: loss 3.7103, time 3271.74ms, mfu 16.54%
iter 2560: loss 3.5742, time 3243.25ms, mfu 16.55%
iter 2570: loss 3.8360, time 3216.32ms, mfu 16.57%
iter 2580: loss 3.5961, time 3020.67ms, mfu 16.70%
iter 2590: loss 3.8725, time 3251.90ms, mfu 16.68%
iter 2600: loss 3.7314, time 3233.37ms, mfu 16.68%
iter 2610: loss 3.6640, time 3272.18ms, mfu 16.66%
iter 2620: loss 3.8615, time 3256.77ms, mfu 16.65%
iter 2630: loss 3.6919, time 3088.63ms, mfu 16.73%
iter 2640: loss 3.8734, time 3033.92ms, mfu 16.83%
iter 2650: loss 3.8732, time 3313.62ms, mfu 16.77%
iter 2660: loss 4.0055, time 3216.41ms, mfu 16.77%
iter 2670: loss 3.7132, time 3205.10ms, mfu 16.77%
iter 2680: loss 3.6939, time 3266.44ms, mfu 16.74%
iter 2690: loss 3.7045, time 3236.05ms, mfu 16.73%
iter 2700: loss 3.6271, time 3446.30ms, mfu 16.62%
iter 2710: loss 3.7296, time 3254.63ms, mfu 16.62%
iter 2720: loss 3.8335, time 3242.04ms, mfu 16.62%
iter 2730: loss 4.0333, time 3259.25ms, mfu 16.61%
iter 2740: loss 3.5055, time 3335.44ms, mfu 16.56%
iter 2750: loss 3.7372, time 3253.83ms, mfu 16.56%
iter 2760: loss 3.6623, time 3470.17ms, mfu 16.46%
iter 2770: loss 3.7496, time 3338.05ms, mfu 16.42%
iter 2780: loss 3.7718, time 3167.29ms, mfu 16.48%
iter 2790: loss 3.9291, time 3403.20ms, mfu 16.42%
iter 2800: loss 3.6244, time 3221.92ms, mfu 16.45%
iter 2810: loss 3.8507, time 3350.27ms, mfu 16.41%
iter 2820: loss 3.6558, time 3238.89ms, mfu 16.43%
iter 2830: loss 3.6842, time 3233.09ms, mfu 16.46%
iter 2840: loss 3.6698, time 3429.41ms, mfu 16.38%
iter 2850: loss 3.8799, time 3256.83ms, mfu 16.40%
iter 2860: loss 3.7340, time 3248.90ms, mfu 16.41%
iter 2870: loss 3.5172, time 3454.00ms, mfu 16.33%
iter 2880: loss 3.8007, time 3394.48ms, mfu 16.29%
iter 2890: loss 3.7286, time 3235.75ms, mfu 16.32%
iter 2900: loss 3.5895, time 3237.12ms, mfu 16.35%
iter 2910: loss 3.7079, time 3314.80ms, mfu 16.34%
iter 2920: loss 3.6254, time 3253.18ms, mfu 16.36%
iter 2930: loss 3.7132, time 3366.91ms, mfu 16.33%
iter 2940: loss 3.7331, time 3028.58ms, mfu 16.47%
iter 2950: loss 3.8312, time 3271.89ms, mfu 16.47%
iter 2960: loss 3.6676, time 3316.88ms, mfu 16.45%
iter 2970: loss 3.7219, time 3029.06ms, mfu 16.58%
iter 2980: loss 3.6106, time 3254.58ms, mfu 16.58%
iter 2990: loss 3.8292, time 3258.06ms, mfu 16.57%
step 3000: train loss 3.7076, val loss 3.7099
saving checkpoint to out
iter 3000: loss 3.7996, time 25404.13ms, mfu 15.13%
iter 3010: loss 3.7033, time 3262.38ms, mfu 15.27%
iter 3020: loss 3.6340, time 3243.45ms, mfu 15.40%
iter 3030: loss 3.7123, time 3235.51ms, mfu 15.53%
iter 3040: loss 3.6988, time 3457.08ms, mfu 15.53%
iter 3050: loss 3.6555, time 3320.23ms, mfu 15.60%
iter 3060: loss 3.7151, time 3222.87ms, mfu 15.71%
iter 3070: loss 3.4531, time 3248.13ms, mfu 15.80%
iter 3080: loss 3.6554, time 3015.95ms, mfu 16.00%
iter 3090: loss 3.8849, time 3007.95ms, mfu 16.20%
iter 3100: loss 3.6023, time 3325.29ms, mfu 16.20%
iter 3110: loss 3.7913, time 3253.42ms, mfu 16.23%
iter 3120: loss 3.7469, time 3012.90ms, mfu 16.40%
iter 3130: loss 3.7844, time 3252.54ms, mfu 16.41%
iter 3140: loss 3.5576, time 3242.73ms, mfu 16.43%
iter 3150: loss 3.7699, time 3021.63ms, mfu 16.57%
iter 3160: loss 3.7434, time 3070.27ms, mfu 16.67%
iter 3170: loss 3.7620, time 3190.04ms, mfu 16.69%
iter 3180: loss 3.6754, time 3241.35ms, mfu 16.68%
iter 3190: loss 3.7678, time 3283.80ms, mfu 16.66%
iter 3200: loss 3.6097, time 3245.32ms, mfu 16.65%
iter 3210: loss 3.7394, time 3326.97ms, mfu 16.60%
iter 3220: loss 3.5706, time 3278.22ms, mfu 16.59%
iter 3230: loss 3.6376, time 3300.52ms, mfu 16.56%
iter 3240: loss 3.5946, time 3266.98ms, mfu 16.55%
iter 3250: loss 3.6556, time 3345.03ms, mfu 16.51%
iter 3260: loss 3.5932, time 3257.09ms, mfu 16.51%
iter 3270: loss 3.7050, time 3271.43ms, mfu 16.51%
iter 3280: loss 3.6828, time 3226.15ms, mfu 16.52%
iter 3290: loss 3.7964, time 3259.25ms, mfu 16.52%
iter 3300: loss 3.6849, time 3300.57ms, mfu 16.50%
iter 3310: loss 3.7979, time 3338.60ms, mfu 16.47%
iter 3320: loss 3.3889, time 3297.74ms, mfu 16.45%
iter 3330: loss 3.5302, time 3240.72ms, mfu 16.47%
iter 3340: loss 3.6491, time 3233.88ms, mfu 16.49%
iter 3350: loss 3.6714, time 3033.93ms, mfu 16.62%
iter 3360: loss 3.5678, time 3246.82ms, mfu 16.61%
iter 3370: loss 3.8097, time 3188.33ms, mfu 16.64%
iter 3380: loss 3.6284, time 3300.54ms, mfu 16.61%
iter 3390: loss 3.9852, time 3381.66ms, mfu 16.54%
iter 3400: loss 3.5973, time 3253.37ms, mfu 16.54%
iter 3410: loss 3.6416, time 3220.11ms, mfu 16.56%
iter 3420: loss 3.7660, time 3322.78ms, mfu 16.53%
iter 3430: loss 3.6075, time 3241.95ms, mfu 16.53%
iter 3440: loss 3.5617, time 3252.14ms, mfu 16.54%
iter 3450: loss 3.6496, time 3235.61ms, mfu 16.55%
iter 3460: loss 3.5701, time 3010.79ms, mfu 16.68%
iter 3470: loss 3.4980, time 3016.04ms, mfu 16.80%
iter 3480: loss 3.7096, time 3358.51ms, mfu 16.72%
iter 3490: loss 3.6519, time 3376.41ms, mfu 16.65%
iter 3500: loss 3.7318, time 3001.96ms, mfu 16.78%
iter 3510: loss 3.7165, time 3220.42ms, mfu 16.77%
iter 3520: loss 3.6169, time 3313.38ms, mfu 16.72%
iter 3530: loss 3.4402, time 3389.15ms, mfu 16.64%
iter 3540: loss 3.6596, time 3236.65ms, mfu 16.64%
iter 3550: loss 3.4883, time 3040.56ms, mfu 16.75%
iter 3560: loss 3.6428, time 3392.48ms, mfu 16.66%
iter 3570: loss 3.6502, time 3294.64ms, mfu 16.63%
iter 3580: loss 3.6986, time 3226.51ms, mfu 16.63%
iter 3590: loss 3.7729, time 3030.97ms, mfu 16.75%
iter 3600: loss 3.6693, time 3271.37ms, mfu 16.72%
iter 3610: loss 3.5364, time 3244.54ms, mfu 16.71%
iter 3620: loss 3.4330, time 3213.39ms, mfu 16.71%
iter 3630: loss 3.6752, time 3232.08ms, mfu 16.71%
iter 3640: loss 3.7433, time 3031.67ms, mfu 16.81%
iter 3650: loss 3.5829, time 3297.05ms, mfu 16.77%
iter 3660: loss 3.7229, time 3352.53ms, mfu 16.70%
iter 3670: loss 3.7919, time 3269.92ms, mfu 16.67%
iter 3680: loss 3.7128, time 3025.88ms, mfu 16.79%
iter 3690: loss 3.6120, time 3357.58ms, mfu 16.71%
iter 3700: loss 3.5466, time 3253.80ms, mfu 16.70%
iter 3710: loss 3.5137, time 3235.29ms, mfu 16.69%
iter 3720: loss 3.6707, time 3253.56ms, mfu 16.68%
iter 3730: loss 3.5658, time 3266.24ms, mfu 16.66%
iter 3740: loss 3.5644, time 3250.21ms, mfu 16.65%
iter 3750: loss 3.6633, time 3042.58ms, mfu 16.76%
iter 3760: loss 3.6069, time 3294.70ms, mfu 16.72%
iter 3770: loss 3.6725, time 3224.55ms, mfu 16.71%
iter 3780: loss 3.7198, time 3234.95ms, mfu 16.71%
iter 3790: loss 3.3459, time 3250.03ms, mfu 16.69%
iter 3800: loss 3.6414, time 3235.64ms, mfu 16.69%
iter 3810: loss 3.5888, time 3341.32ms, mfu 16.63%
iter 3820: loss 3.5913, time 3256.04ms, mfu 16.62%
iter 3830: loss 3.8603, time 3234.62ms, mfu 16.63%
iter 3840: loss 3.5285, time 3333.40ms, mfu 16.58%
iter 3850: loss 3.6231, time 3253.21ms, mfu 16.58%
iter 3860: loss 3.6777, time 3245.82ms, mfu 16.58%
iter 3870: loss 3.6991, time 3273.75ms, mfu 16.57%
iter 3880: loss 3.5693, time 3271.43ms, mfu 16.56%
iter 3890: loss 3.5835, time 3332.16ms, mfu 16.52%
iter 3900: loss 3.7151, time 3246.42ms, mfu 16.52%
iter 3910: loss 3.6283, time 3238.69ms, mfu 16.54%
iter 3920: loss 3.8037, time 3320.67ms, mfu 16.50%
iter 3930: loss 3.7551, time 3373.80ms, mfu 16.45%
iter 3940: loss 3.5552, time 3329.79ms, mfu 16.42%
iter 3950: loss 3.7462, time 3255.64ms, mfu 16.43%
iter 3960: loss 3.6389, time 3241.75ms, mfu 16.45%
iter 3970: loss 3.6346, time 3465.67ms, mfu 16.36%
iter 3980: loss 3.5855, time 3252.93ms, mfu 16.38%
iter 3990: loss 3.1779, time 3305.77ms, mfu 16.37%
step 4000: train loss 3.5944, val loss 3.5833
saving checkpoint to out
iter 4000: loss 3.4934, time 25378.60ms, mfu 14.95%
iter 4010: loss 3.4141, time 3293.68ms, mfu 15.09%
iter 4020: loss 3.5953, time 3330.40ms, mfu 15.20%
iter 4030: loss 3.6268, time 3244.53ms, mfu 15.34%
iter 4040: loss 3.6386, time 3234.59ms, mfu 15.47%
iter 4050: loss 3.4637, time 3028.31ms, mfu 15.70%
iter 4060: loss 3.5777, time 3305.56ms, mfu 15.76%
iter 4070: loss 3.4156, time 3316.01ms, mfu 15.81%
iter 4080: loss 3.5214, time 3262.40ms, mfu 15.88%
iter 4090: loss 3.5429, time 3050.59ms, mfu 16.06%
iter 4100: loss 3.5723, time 3225.09ms, mfu 16.12%
iter 4110: loss 3.4119, time 3282.28ms, mfu 16.15%
iter 4120: loss 3.7197, time 3314.67ms, mfu 16.16%
iter 4130: loss 3.3871, time 3239.40ms, mfu 16.21%
iter 4140: loss 3.6263, time 3264.33ms, mfu 16.24%
iter 4150: loss 3.4855, time 3155.48ms, mfu 16.32%
iter 4160: loss 3.4861, time 3232.29ms, mfu 16.35%
iter 4170: loss 3.5352, time 3349.88ms, mfu 16.33%
iter 4180: loss 3.5735, time 3332.16ms, mfu 16.31%
iter 4190: loss 3.6029, time 3153.83ms, mfu 16.39%
iter 4200: loss 3.5322, time 3246.71ms, mfu 16.41%
iter 4210: loss 3.3883, time 3251.50ms, mfu 16.42%
iter 4220: loss 3.6887, time 3331.38ms, mfu 16.40%
iter 4230: loss 3.5326, time 3288.42ms, mfu 16.40%
iter 4240: loss 3.5958, time 3028.80ms, mfu 16.53%
iter 4250: loss 3.6136, time 3405.42ms, mfu 16.46%
iter 4260: loss 3.5729, time 3241.94ms, mfu 16.48%
iter 4270: loss 3.7626, time 3022.57ms, mfu 16.61%
iter 4280: loss 3.6003, time 3254.42ms, mfu 16.61%
iter 4290: loss 3.6196, time 3330.58ms, mfu 16.56%
